Year,Team,Name,G,GS,GR,IP,W,L,S,HD,SO,BB,ERA,FIP,WHIP,WAR
2024,한화,장지수,13,0,13,14.0,0,0,0,0,11,10,10.93,4.55,2.36,-0.15
2024,한화,윤대경,7,0,7,7.2,0,0,0,0,7,6,10.57,6.42,2.09,-0.26
2024,한화,이태양,10,1,9,9.1,0,2,0,0,2,2,11.57,9.48,2.04,-0.49
2024,한화,한승주,18,0,18,22.0,0,2,0,0,14,10,11.45,5.61,2.5,-0.94
2024,한화,정우람,1,1,0,0.0,0,0,0,0,0,0,,4.23,99.99,
2025,한화,폰세,29,29,0,180.2,17,1,0,0,252,41,1.89,1.92,0.94,8.38
2025,한화,와이스,30,30,0,178.2,16,5,0,0,207,56,2.87,3.12,1.02,5.95
2025,한화,류현진,26,26,0,139.1,9,7,0,0,122,25,3.23,3.37,1.21,4.03
2025,한화,한승혁,71,0,71,64.0,3,3,3,16,53,23,2.25,4.09,1.23,2.54
2025,한화,문동주,24,23,1,121.0,11,5,0,0,135,31,4.02,2.72,1.18,2.53
2025,한화,김서현,69,0,69,66.0,2,4,33,2,71,31,3.14,3.7,1.26,1.99
2025,한화,김범수,73,0,73,48.0,2,1,2,6,41,22,2.25,3.45,1.08,1.33
2025,한화,조동욱,68,2,66,60.0,3,3,2,5,43,29,4.05,4.63,1.77,1.31
2025,한화,정우주,51,2,49,53.2,3,0,0,3,82,21,2.85,3.28,1.02,1.23
2025,한화,김종수,63,0,63,63.2,4,5,0,5,59,36,3.25,4.55,1.46,0.85
2025,한화,박상원,74,0,74,66.2,4,3,0,16,52,21,4.19,4.07,1.32,0.73
2025,한화,황준서,23,12,11,56.0,2,8,0,0,57,26,5.3,4.46,1.43,0.41
2025,한화,윤산흠,12,1,11,16.2,0,0,0,0,17,5,3.78,3.62,1.26,0.36
2025,한화,김기중,5,2,3,14.2,0,1,0,0,8,6,3.07,4.08,1.5,0.3
2025,한화,이태양,14,0,14,11.1,0,1,0,0,8,5,3.97,3.85,1.68,0.19
2025,한화,박준영,1,1,0,5.0,0,0,0,0,3,6,3.6,6.26,1.8,0.15
